"ADD TO
ESTIMATE";INSTANCE;CORE;RAM;"TEMPORARY
STORAGE";PAY AS YOU GO;"ONE YEAR RESERVED
(% SAVINGS)";"THREE YEAR RESERVED
(% SAVINGS)";vCPU;"ACTIVE vCPU /
UNDERLYING vCPU";GPU;Central US;East US;East US 2;North Central US;South Central US;West Central US;West US;West US 2;North Europe;West Europe;East Asia;Southeast Asia;Japan East;Japan West;Brazil South;Australia Central;Australia Central 2;Australia East;Australia Southeast;Central India;South India;West India;Canada Central;Canada East;Germany Central;Germany Northeast;UK South;UK West;France Central;France South;Korea Central;Korea South;US DoD Central;US DoD East;US Gov Arizona;US Gov Iowa;US Gov Texas;US Gov Virginia
;Gs5;32;448.00 GiB;896 GiB;N/A;– –;– –;;;;;N/A;$7.82/hour;N/A;N/A;N/A;$8.69/hour;$7.843/hour;N/A;$9.99/hour;N/A;$9.39/hour;$9.205/hour;N/A;N/A;N/A;N/A;$10.21/hour;N/A;N/A;N/A;N/A;$8.448/hour;$7.744/hour;$9.856/hour;N/A;$7.027/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$8.80/hour
;M32ls;32;256.00 GiB;1,000 GiB;N/A;N/A;N/A;;;;;$2.873/hour;$2.873/hour;N/A;N/A;N/A;N/A;$2.873/hour;$3.19/hour;$3.448/hour;$4.31/hour;$3.448/hour;$3.448/hour;$3.448/hour;N/A;N/A;N/A;$3.448/hour;$3.448/hour;$3.276/hour;$3.62/hour;N/A;$3.161/hour;$3.161/hour;N/A;N/A;$3.362/hour;$3.362/hour;N/A;N/A;N/A;N/A;N/A;N/A;$3.448/hour;N/A;N/A;$3.448/hour
;M64ls;64;512.00 GiB;2,000 GiB;N/A;N/A;N/A;;;;;$5.415/hour;$5.415/hour;N/A;N/A;N/A;N/A;$5.415/hour;$6.011/hour;$6.498/hour;$8.123/hour;$6.498/hour;$6.498/hour;$6.498/hour;N/A;N/A;N/A;$6.498/hour;$6.498/hour;$6.174/hour;$6.823/hour;N/A;$5.957/hour;$5.957/hour;N/A;N/A;$6.336/hour;$6.336/hour;N/A;N/A;N/A;N/A;N/A;N/A;$6.498/hour;N/A;N/A;$6.498/hour
;M8ms;8;219.00 GiB;250 GiB;N/A;N/A;N/A;;;;;$1.537/hour;$1.537/hour;N/A;N/A;N/A;N/A;$1.537/hour;$1.844/hour;$2.152/hour;$2.785/hour;$2.228/hour;$2.228/hour;$2.228/hour;N/A;N/A;N/A;$2.228/hour;$2.228/hour;$2.117/hour;$2.328/hour;N/A;$1.691/hour;$1.691/hour;N/A;N/A;$1.936/hour;$1.936/hour;N/A;N/A;N/A;N/A;N/A;N/A;$1.844/hour;N/A;N/A;$1.844/hour
;M16ms;16;438.00 GiB;500 GiB;N/A;N/A;N/A;;;;;$3.073/hour;$3.073/hour;N/A;N/A;N/A;N/A;$3.073/hour;$3.688/hour;$4.303/hour;$5.57/hour;$4.456/hour;$4.456/hour;$4.456/hour;N/A;N/A;N/A;$4.456/hour;$4.456/hour;$4.234/hour;$4.656/hour;N/A;$3.381/hour;$3.381/hour;N/A;N/A;$3.872/hour;$3.872/hour;N/A;N/A;N/A;N/A;N/A;N/A;$3.688/hour;N/A;N/A;$3.688/hour
;M32ms;32;875.00 GiB;1,000 GiB;N/A;N/A;N/A;;;;;$6.146/hour;$6.146/hour;N/A;N/A;N/A;N/A;$6.146/hour;$7.376/hour;$8.605/hour;$11.14/hour;$8.912/hour;$8.912/hour;$8.912/hour;N/A;N/A;N/A;$8.912/hour;$8.912/hour;$8.467/hour;$9.312/hour;N/A;$6.761/hour;$6.761/hour;N/A;N/A;$7.744/hour;$7.744/hour;N/A;N/A;N/A;N/A;N/A;N/A;$7.375/hour;N/A;N/A;$7.375/hour
;M64ms;64;1,792.00 GiB;2,000 GiB;N/A;N/A;N/A;;;;;$10.34/hour;$10.34/hour;N/A;N/A;N/A;N/A;$10.34/hour;$12.41/hour;$14.48/hour;$18.74/hour;$14.99/hour;$14.99/hour;$14.99/hour;N/A;N/A;N/A;$14.99/hour;$14.99/hour;$14.24/hour;$15.67/hour;N/A;$11.38/hour;$11.38/hour;N/A;N/A;$13.03/hour;$13.03/hour;N/A;N/A;N/A;N/A;N/A;N/A;$12.41/hour;N/A;N/A;$12.41/hour
;M128ms;128;3,892.00 GiB;4,000 GiB;N/A;N/A;N/A;;;;;$26.69/hour;$26.69/hour;N/A;N/A;N/A;N/A;$26.69/hour;$32.03/hour;$37.37/hour;$48.38/hour;$38.71/hour;$38.71/hour;$38.71/hour;N/A;N/A;N/A;$38.70/hour;$38.71/hour;$36.77/hour;$40.45/hour;N/A;$29.36/hour;$29.36/hour;N/A;N/A;$33.63/hour;$33.63/hour;N/A;N/A;N/A;N/A;N/A;N/A;$32.03/hour;N/A;N/A;$32.03/hour
;M64s;64;1,024.00 GiB;2,000 GiB;N/A;N/A;N/A;;;;;$6.669/hour;$6.669/hour;N/A;N/A;N/A;N/A;$6.669/hour;$8.003/hour;$9.337/hour;$12.09/hour;$9.671/hour;$9.671/hour;$9.671/hour;N/A;N/A;N/A;$9.671/hour;$9.671/hour;$9.187/hour;$10.11/hour;N/A;$7.336/hour;$7.336/hour;N/A;N/A;$8.403/hour;$8.403/hour;N/A;N/A;N/A;N/A;N/A;N/A;$8.003/hour;N/A;N/A;$8.003/hour
;M128s;128;2,048.00 GiB;4,000 GiB;N/A;N/A;N/A;;;;;$13.34/hour;$13.34/hour;N/A;N/A;N/A;N/A;$13.34/hour;$16.01/hour;$18.68/hour;$24.18/hour;$19.35/hour;$19.35/hour;$19.35/hour;N/A;N/A;N/A;$19.35/hour;$19.35/hour;$18.38/hour;$20.22/hour;N/A;$14.68/hour;$14.68/hour;N/A;N/A;$16.81/hour;$16.81/hour;N/A;N/A;N/A;N/A;N/A;N/A;$16.01/hour;N/A;N/A;$16.01/hour
;M32ts;32;192.00 GiB;1,000 GiB;N/A;N/A;N/A;;;;;$2.707/hour;$2.707/hour;N/A;N/A;N/A;N/A;$2.707/hour;$3.005/hour;$3.249/hour;$4.061/hour;$3.249/hour;$3.249/hour;$3.249/hour;N/A;N/A;N/A;$3.249/hour;$3.249/hour;$3.086/hour;$3.411/hour;N/A;$2.978/hour;$2.978/hour;N/A;N/A;$3.168/hour;$3.168/hour;N/A;N/A;N/A;N/A;N/A;N/A;$3.248/hour;N/A;N/A;$3.248/hour
S96;96;768.00 GiB;3,072 GiB;– –;N/A;N/A;;;;;;$5.314/hour;N/A;N/A;N/A;N/A;$5.314/hour;N/A;$6.377/hour;$6.377/hour;N/A;N/A;$7.705/hour;$7.705/hour;N/A;N/A;N/A;$7.705/hour;$7.705/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
S192;192;2,048.00 GiB;8,192 GiB;– –;N/A;N/A;;;;;N/A;$30.86/hour;N/A;N/A;N/A;N/A;$30.86/hour;N/A;$37.03/hour;$37.03/hour;N/A;N/A;$44.75/hour;$44.75/hour;N/A;N/A;N/A;$44.75/hour;$44.75/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
S384;384;4,096.00 GiB;16,384 GiB;– –;Not available;N/A;;;;;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available;Not available
;DS11-1 v2;1 / 2;14.00 GiB;28 GiB;$0.185/hour;– –;– –;;;;;$0.185/hour;$0.149/hour;$0.185/hour;$0.166/hour;$0.166/hour;$0.185/hour;$0.149/hour;$0.185/hour;$0.19/hour;$0.229/hour;$0.191/hour;$0.229/hour;$0.20/hour;$0.235/hour;$0.249/hour;$0.249/hour;$0.20/hour;$0.20/hour;$0.189/hour;$0.189/hour;$0.189/hour;$0.199/hour;$0.183/hour;$0.222/hour;$0.222/hour;$0.234/hour;$0.234/hour;$0.234/hour;$0.304/hour;$0.20/hour;$0.179/hour;N/A;N/A;$0.186/hour;N/A;$0.186/hour;$0.186/hour
;DS12-1 v2;1 / 4;28.00 GiB;56 GiB;$0.371/hour;– –;– –;;;;;$0.371/hour;$0.299/hour;$0.37/hour;$0.332/hour;$0.332/hour;$0.37/hour;$0.299/hour;$0.371/hour;$0.379/hour;$0.459/hour;$0.382/hour;$0.459/hour;$0.399/hour;$0.47/hour;$0.499/hour;$0.499/hour;$0.399/hour;$0.399/hour;$0.379/hour;$0.379/hour;$0.379/hour;$0.399/hour;$0.366/hour;$0.445/hour;$0.445/hour;$0.469/hour;$0.469/hour;$0.469/hour;$0.608/hour;$0.399/hour;$0.359/hour;N/A;N/A;$0.373/hour;N/A;$0.373/hour;$0.373/hour
;DS12-2 v2;2 / 4;28.00 GiB;56 GiB;$0.371/hour;– –;– –;;;;;$0.371/hour;$0.299/hour;$0.37/hour;$0.332/hour;$0.332/hour;$0.37/hour;$0.299/hour;$0.371/hour;$0.379/hour;$0.459/hour;$0.382/hour;$0.459/hour;$0.399/hour;$0.47/hour;$0.499/hour;$0.499/hour;$0.399/hour;$0.399/hour;$0.379/hour;$0.379/hour;$0.379/hour;$0.399/hour;$0.366/hour;$0.445/hour;$0.445/hour;$0.469/hour;$0.469/hour;$0.469/hour;$0.608/hour;$0.399/hour;$0.359/hour;N/A;N/A;$0.373/hour;N/A;$0.373/hour;$0.373/hour
;DS13-2 v2;2 / 8;56.00 GiB;112 GiB;$0.741/hour;– –;– –;;;;;$0.741/hour;$0.598/hour;$0.741/hour;$0.665/hour;$0.665/hour;$0.741/hour;$0.598/hour;$0.741/hour;$0.759/hour;$0.918/hour;$0.765/hour;$0.918/hour;$0.798/hour;$0.94/hour;$0.997/hour;$0.997/hour;$0.798/hour;$0.798/hour;$0.758/hour;$0.758/hour;$0.758/hour;$0.798/hour;$0.732/hour;$0.889/hour;$0.889/hour;$0.937/hour;$0.937/hour;$0.937/hour;$1.217/hour;$0.798/hour;$0.718/hour;N/A;N/A;$0.746/hour;N/A;$0.746/hour;$0.746/hour
;DS13-4 v2;4 / 8;56.00 GiB;112 GiB;$0.741/hour;– –;– –;;;;;$0.741/hour;$0.598/hour;$0.741/hour;$0.665/hour;$0.665/hour;$0.741/hour;$0.598/hour;$0.741/hour;$0.759/hour;$0.918/hour;$0.765/hour;$0.918/hour;$0.798/hour;$0.94/hour;$0.997/hour;$0.997/hour;$0.798/hour;$0.798/hour;$0.758/hour;$0.758/hour;$0.758/hour;$0.798/hour;$0.732/hour;$0.889/hour;$0.889/hour;$0.937/hour;$0.937/hour;$0.937/hour;$1.217/hour;$0.798/hour;$0.718/hour;N/A;N/A;$0.746/hour;N/A;$0.746/hour;$0.746/hour
;DS14-4 v2;4 / 16;112.00 GiB;224 GiB;$1.482/hour;– –;– –;;;;;$1.482/hour;$1.196/hour;$1.482/hour;$1.33/hour;$1.33/hour;$1.482/hour;$1.196/hour;$1.482/hour;$1.518/hour;$1.835/hour;$1.53/hour;$1.835/hour;$1.596/hour;$1.879/hour;$1.995/hour;$1.995/hour;$1.596/hour;$1.596/hour;$1.516/hour;$1.516/hour;$1.516/hour;$1.596/hour;$1.463/hour;$1.778/hour;$1.778/hour;$1.874/hour;$1.874/hour;$1.874/hour;$2.434/hour;$1.596/hour;$1.435/hour;N/A;N/A;$1.491/hour;N/A;$1.491/hour;$1.491/hour
;DS14-8 v2;8 / 16;112.00 GiB;224 GiB;$1.482/hour;– –;– –;;;;;$1.482/hour;$1.196/hour;$1.482/hour;$1.33/hour;$1.33/hour;$1.482/hour;$1.196/hour;$1.482/hour;$1.518/hour;$1.835/hour;$1.53/hour;$1.835/hour;$1.596/hour;$1.879/hour;$1.995/hour;$1.995/hour;$1.596/hour;$1.596/hour;$1.516/hour;$1.516/hour;$1.516/hour;$1.596/hour;$1.463/hour;$1.778/hour;$1.778/hour;$1.874/hour;$1.874/hour;$1.874/hour;$2.434/hour;$1.596/hour;$1.435/hour;N/A;N/A;$1.491/hour;N/A;$1.491/hour;$1.491/hour
;E4-2s v3;2 / 4;32.00 GiB;64 GiB;$0.293/hour;– –;– –;;;;;$0.266/hour;$0.266/hour;$0.266/hour;$0.293/hour;N/A;$0.296/hour;$0.266/hour;$0.296/hour;$0.32/hour;$0.40/hour;$0.32/hour;$0.32/hour;$0.32/hour;$0.47/hour;$0.399/hour;$0.399/hour;$0.319/hour;$0.319/hour;$0.274/hour;$0.334/hour;N/A;$0.292/hour;$0.292/hour;$0.346/hour;$0.346/hour;$0.312/hour;$0.312/hour;N/A;N/A;$0.32/hour;$0.288/hour;N/A;N/A;$0.319/hour;N/A;$0.319/hour;N/A
;E8-2s v3;2 / 8;64.00 GiB;128 GiB;$0.585/hour;– –;– –;;;;$0.585/hour;$0.532/hour;$0.532/hour;$0.532/hour;$0.585/hour;N/A;$0.593/hour;$0.532/hour;$0.593/hour;$0.64/hour;$0.80/hour;$0.64/hour;$0.64/hour;$0.64/hour;$0.94/hour;$0.798/hour;$0.798/hour;$0.638/hour;$0.638/hour;$0.548/hour;$0.669/hour;N/A;$0.584/hour;$0.584/hour;$0.691/hour;$0.691/hour;$0.624/hour;$0.624/hour;N/A;N/A;$0.64/hour;$0.576/hour;N/A;N/A;$0.638/hour;N/A;$0.638/hour;N/A
;E16-4s v3;4 / 16;128.00 GiB;256 GiB;$1.17/hour;– –;– –;;;;;$1.064/hour;$1.064/hour;$1.064/hour;$1.17/hour;N/A;$1.186/hour;$1.064/hour;$1.186/hour;$1.28/hour;$1.60/hour;$1.28/hour;$1.28/hour;$1.28/hour;$1.879/hour;$1.597/hour;$1.597/hour;$1.277/hour;$1.277/hour;$1.096/hour;$1.338/hour;N/A;$1.168/hour;$1.168/hour;$1.382/hour;$1.382/hour;$1.248/hour;$1.248/hour;N/A;N/A;$1.28/hour;$1.152/hour;N/A;N/A;$1.277/hour;N/A;$1.277/hour;N/A
;E16-8s v3;8 / 16;128.00 GiB;256 GiB;$1.17/hour;– –;– –;;;;;$1.064/hour;$1.064/hour;$1.064/hour;$1.17/hour;N/A;$1.186/hour;$1.064/hour;$1.186/hour;$1.28/hour;$1.60/hour;$1.28/hour;$1.28/hour;$1.28/hour;$1.879/hour;$1.597/hour;$1.597/hour;$1.277/hour;$1.277/hour;$1.096/hour;$1.338/hour;N/A;$1.168/hour;$1.168/hour;$1.382/hour;$1.382/hour;$1.248/hour;$1.248/hour;N/A;N/A;$1.28/hour;$1.152/hour;N/A;N/A;$1.277/hour;N/A;$1.277/hour;N/A
;E32-8s v3;8 / 32;256.00 GiB;512 GiB;$2.341/hour;– –;– –;;;;;$2.128/hour;$2.128/hour;$2.128/hour;$2.341/hour;N/A;$2.371/hour;$2.128/hour;$2.371/hour;$2.56/hour;$3.20/hour;$2.56/hour;$2.56/hour;$2.56/hour;$3.758/hour;$3.193/hour;$3.193/hour;$2.554/hour;$2.554/hour;$2.192/hour;$2.675/hour;N/A;$2.336/hour;$2.336/hour;$2.765/hour;$2.765/hour;$2.496/hour;$2.496/hour;N/A;N/A;$2.56/hour;$2.304/hour;N/A;N/A;$2.554/hour;N/A;$2.554/hour;N/A
;E32-16s v3;16 / 32;256.00 GiB;512 GiB;$2.341/hour;– –;– –;;;;;$2.128/hour;$2.128/hour;$2.128/hour;$2.341/hour;N/A;$2.371/hour;$2.128/hour;$2.371/hour;$2.56/hour;$3.20/hour;$2.56/hour;$2.56/hour;$2.56/hour;$3.758/hour;$3.193/hour;$3.193/hour;$2.554/hour;$2.554/hour;$2.192/hour;$2.675/hour;N/A;$2.336/hour;$2.336/hour;$2.765/hour;$2.765/hour;$2.496/hour;$2.496/hour;N/A;N/A;$2.56/hour;$2.304/hour;N/A;N/A;$2.554/hour;N/A;$2.554/hour;N/A
;E64-16s v3;16 / 64;432.00 GiB;864 GiB;$4.412/hour;– –;– –;;;;;$4.011/hour;$4.011/hour;$4.011/hour;$4.412/hour;N/A;$4.469/hour;$4.011/hour;$4.469/hour;$4.826/hour;$6.032/hour;$4.826/hour;$4.826/hour;$4.826/hour;$7.084/hour;$6.018/hour;$6.018/hour;$4.814/hour;$4.814/hour;$4.132/hour;$5.043/hour;N/A;$4.403/hour;$4.403/hour;$5.214/hour;$5.214/hour;$4.705/hour;$4.705/hour;N/A;N/A;$4.826/hour;$4.343/hour;N/A;N/A;$4.814/hour;N/A;$4.814/hour;N/A
;E64-32s v3;32 / 64;432.00 GiB;864 GiB;$4.412/hour;– –;– –;;;;;$4.011/hour;$4.011/hour;$4.011/hour;$4.412/hour;N/A;$4.469/hour;$4.011/hour;$4.469/hour;$4.826/hour;$6.032/hour;$4.826/hour;$4.826/hour;$4.826/hour;$7.084/hour;$6.018/hour;$6.018/hour;$4.814/hour;$4.814/hour;$4.132/hour;$5.043/hour;N/A;$4.403/hour;$4.403/hour;$5.214/hour;$5.214/hour;$4.705/hour;$4.705/hour;N/A;N/A;$4.826/hour;$4.343/hour;N/A;N/A;$4.814/hour;N/A;$4.814/hour;N/A
;Gs4-4;4 / 16;224.00 GiB;3,072 GiB;N/A;– –;– –;;;;;N/A;$4.40/hour;N/A;N/A;N/A;$4.88/hour;$3.922/hour;N/A;$5.60/hour;N/A;$5.28/hour;$4.602/hour;N/A;N/A;N/A;N/A;$5.104/hour;N/A;N/A;N/A;N/A;$4.224/hour;$3.872/hour;$4.928/hour;N/A;$3.514/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$4.40/hour
;Gs4-8;8 / 16;224.00 GiB;3,072 GiB;N/A;– –;– –;;;;;N/A;$4.40/hour;N/A;N/A;N/A;$4.88/hour;$3.922/hour;N/A;$5.60/hour;N/A;$5.28/hour;$4.602/hour;N/A;N/A;N/A;N/A;$5.104/hour;N/A;N/A;N/A;N/A;$4.224/hour;$3.872/hour;$4.928/hour;N/A;$3.514/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$4.40/hour
;Gs5-8;8 / 32;448.00 GiB;6,144 GiB;N/A;– –;– –;;;;;N/A;$7.82/hour;N/A;N/A;N/A;$8.69/hour;$7.843/hour;N/A;$9.99/hour;N/A;$9.39/hour;$9.205/hour;N/A;N/A;N/A;N/A;$10.21/hour;N/A;N/A;N/A;N/A;$8.448/hour;$7.744/hour;$9.856/hour;N/A;$7.027/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$8.80/hour
;Gs5-16;16 / 32;448.00 GiB;6,144 GiB;N/A;– –;– –;;;;;N/A;$7.82/hour;N/A;N/A;N/A;$8.69/hour;$7.843/hour;N/A;$9.99/hour;N/A;$9.39/hour;$9.205/hour;N/A;N/A;N/A;N/A;$10.21/hour;N/A;N/A;N/A;N/A;$8.448/hour;$7.744/hour;$9.856/hour;N/A;$7.027/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$8.80/hour
;M64-16ms;16 / 64;1,750.00 GiB;2,000 GiB;N/A;– –;– –;;;;;N/A;$10.34/hour;N/A;N/A;N/A;N/A;$10.34/hour;N/A;$14.48/hour;$18.74/hour;$14.99/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$11.38/hour;N/A;N/A;N/A;$13.03/hour;$13.03/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$12.41/hour
;M64-32ms;32 / 64;1,750.00 GiB;2,000 GiB;N/A;– –;– –;;;;;N/A;$10.34/hour;N/A;N/A;N/A;N/A;$10.34/hour;N/A;$14.48/hour;N/A;$14.99/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$13.03/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$12.41/hour
;M128-32ms;32 / 128;3,800.00 GiB;4,000 GiB;N/A;– –;– –;;;;;N/A;$26.69/hour;N/A;N/A;N/A;N/A;$26.69/hour;N/A;$37.37/hour;$48.38/hour;$38.71/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$29.36/hour;N/A;N/A;N/A;$33.63/hour;$33.63/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$32.03/hour
;M128-64ms;64 / 128;3,800.00 GiB;4,000 GiB;N/A;– –;– –;;;;;N/A;$26.69/hour;N/A;N/A;N/A;N/A;$26.69/hour;N/A;$37.37/hour;N/A;$38.71/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$33.63/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$32.03/hour
;L4;4;32.00 GiB;678 GiB;N/A;N/A;N/A;;;;;N/A;$0.343/hour;N/A;N/A;N/A;$0.344/hour;$0.312/hour;N/A;$0.372/hour;N/A;$0.374/hour;$0.366/hour;N/A;N/A;N/A;N/A;$0.374/hour;N/A;N/A;N/A;N/A;$0.344/hour;$0.344/hour;N/A;N/A;$0.362/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$0.376/hour
;L8;8;64.00 GiB;1,388 GiB;N/A;N/A;N/A;;;;;N/A;$0.686/hour;N/A;N/A;N/A;$0.688/hour;$0.624/hour;N/A;$0.744/hour;N/A;$0.748/hour;$0.732/hour;N/A;N/A;N/A;N/A;$0.748/hour;N/A;N/A;N/A;N/A;$0.688/hour;$0.688/hour;N/A;N/A;$0.724/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$0.752/hour
;L16;16;128.00 GiB;2,807 GiB;N/A;N/A;N/A;;;;;N/A;$1.373/hour;N/A;N/A;N/A;$1.376/hour;$1.248/hour;N/A;$1.488/hour;N/A;$1.496/hour;$1.464/hour;N/A;N/A;N/A;N/A;$1.496/hour;N/A;N/A;N/A;N/A;$1.376/hour;$1.376/hour;N/A;N/A;$1.448/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$1.504/hour
;L32;32;256.00 GiB;5,630 GiB;N/A;N/A;N/A;;;;;N/A;$2.746/hour;N/A;N/A;N/A;$2.752/hour;$2.496/hour;N/A;$2.976/hour;N/A;$2.992/hour;$2.928/hour;N/A;N/A;N/A;N/A;$2.992/hour;N/A;N/A;N/A;N/A;$2.752/hour;$2.752/hour;N/A;N/A;$2.896/hour;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;$3.008/hour
;NC6;6;56.00 GiB;340 GiB;1X K80;N/A;N/A;N/A;;;;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80;1X K80
;NC12;12;112.00 GiB;680 GiB;2X K80;N/A;N/A;N/A;;;;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80;2X K80
;NC24;24;224.00 GiB;1,440 GiB;4X K80;N/A;N/A;N/A;;;;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80
;NC24r;24;224.00 GiB;1,440 GiB;4X K80;N/A;N/A;N/A;;;;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80;4X K80
;NC6 v2;6;112.00 GiB;336 GiB;1X P100;N/A;N/A;N/A;;;;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100;1X P100
;NC12 v2;12;224.00 GiB;672 GiB;2X P100;N/A;N/A;N/A;;;;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100;2X P100
;NC24 v2;24;448.00 GiB;1,344 GiB;4X P100;N/A;N/A;N/A;;;;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100
;NC24r v2;24;448.00 GiB;1,344 GiB;4X P100;N/A;N/A;N/A;;;;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100;4X P100
;NC6 v3;6;112.00 GiB;336 GiB;1X V100;N/A;N/A;N/A;;;;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100;1X V100
;NC12 v3;12;224.00 GiB;672 GiB;2X V100;N/A;N/A;N/A;;;;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100;2X V100
;NC24 v3;24;448.00 GiB;1,344 GiB;4X V100;N/A;N/A;N/A;;;;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100;4X V100
